period_date,period_type,source_file,bulletin_period,deposit_avg_rate_azn_pct,deposit_legal_rate_azn_pct,deposit_individual_rate_azn_pct,loan_avg_rate_azn_pct,loan_legal_rate_azn_pct,loan_individual_rate_azn_pct,deposit_avg_rate_fx_pct,deposit_legal_rate_fx_pct,deposit_individual_rate_fx_pct,loan_avg_rate_fx_pct,loan_legal_rate_fx_pct,loan_individual_rate_fx_pct,country_name,country_iso
2009-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.573550866288937,9.487373440650433,12.383069613881007,18.746218966327877,16.435806353425015,22.032899036627057,8.197731500615953,5.519123955893261,12.363096754431648,16.930479180735283,15.525247172254872,21.692738641797693,Azerbaijan,AZE
2009-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.346441926756764,9.102348394033518,12.303831266157998,17.36686787695125,14.70252367966545,21.658659235360403,9.008834636810379,5.603181877033777,12.351351979184145,16.805104267287458,15.305685290632352,20.325900752077075,Azerbaijan,AZE
2009-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.456619095926984,9.185056655782136,12.411562493669667,17.422363398333648,14.80377530668254,21.646365056490474,11.282690038631689,6.775811982749163,12.617052484987603,18.511995620808754,16.60518853050735,22.262765427734863,Azerbaijan,AZE
2009-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.58728507674166,9.48995911127492,12.422181472736778,16.246109449910353,13.434450885015975,21.064596385876523,10.835784364443432,6.395161194747731,12.507419210368509,16.9831189227412,15.049534793495217,20.27367629481834,Azerbaijan,AZE
2009-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.278175761435543,8.669740583480374,12.424479594551778,17.1237151174149,14.784686873121705,21.15391833943045,10.558669095738395,6.0904765786835,12.312400207198134,18.7782546711044,16.536141887856346,23.17033993450042,Azerbaijan,AZE
2009-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.447808438893727,8.362121647592945,12.750665830845687,17.1166874126804,14.80156616841296,21.18640240704407,10.772275632790823,6.194563197630368,12.532787937305654,17.590529734428145,15.014922478265103,22.672918645058118,Azerbaijan,AZE
2009-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.2737738352271,8.255499665186926,12.525949162033642,15.335169811558794,12.741690278834879,20.828893136326254,9.382649390351828,4.8453775102855925,12.296578530814406,16.38999262302946,13.786681338539655,22.194524269189404,Azerbaijan,AZE
2009-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.610215496933973,8.405708405031454,12.919316585535949,14.859023296481148,12.484725772428783,20.67885966067358,9.555496467843259,4.937141860556503,12.4502440956194,15.484034415087605,12.705685923312313,21.760760867724894,Azerbaijan,AZE
2009-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.798945861116858,7.834134227972359,13.037804423806095,14.627108948242133,12.145588154385962,20.566761900845233,10.644111620393474,4.792225265899453,12.502775785907172,16.34907412251034,13.878704149077201,22.246313360511905,Azerbaijan,AZE
2009-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.90814342430798,7.0511474741301665,13.205636117207286,16.229813262683688,14.399256201955616,20.7294721948756,10.890232332606585,5.80980473579399,12.5884777156938,18.352515173544425,16.062222635255594,23.928779196304248,Azerbaijan,AZE
